Размер массива,Выбором. Случайные 0-5,Выбором. Случайные 0-4000,Выбором. Почти отсортированный,Выбором. Обратный порядок,Пузырек. Случайные 0-5,Пузырек. Случайные 0-4000,Пузырек. Почти отсортированный,Пузырек. Обратный порядок,Пузырек + Айверсон 1. Случайные 0-5,Пузырек + Айверсон 1. Случайные 0-4000,Пузырек + Айверсон 1. Почти отсортированный,Пузырек + Айверсон 1. Обратный порядок,Пузырек + Айверсон 1 + 2. Случайные 0-5,Пузырек + Айверсон 1 + 2. Случайные 0-4000,Пузырек + Айверсон 1 + 2. Почти отсортированный,Пузырек + Айверсон 1 + 2. Обратный порядок,Простыми вставками. Случайные 0-5,Простыми вставками. Случайные 0-4000,Простыми вставками. Почти отсортированный,Простыми вставками. Обратный порядок,Бинарными вставками. Случайные 0-5,Бинарными вставками. Случайные 0-4000,Бинарными вставками. Почти отсортированный,Бинарными вставками. Обратный порядок,Подсчетом. Случайные 0-5,Подсчетом. Случайные 0-4000,Подсчетом. Почти отсортированный,Подсчетом. Обратный порядок,Цифровая. Случайные 0-5,Цифровая. Случайные 0-4000,Цифровая. Почти отсортированный,Цифровая. Обратный порядок,Слиянием. Случайные 0-5,Слиянием. Случайные 0-4000,Слиянием. Почти отсортированный,Слиянием. Обратный порядок,Быстрая + Хоара. Случайные 0-5,Быстрая + Хоара. Случайные 0-4000,Быстрая + Хоара. Почти отсортированный,Быстрая + Хоара. Обратный порядок,Быстрая + Ломуто. Случайные 0-5,Быстрая + Ломуто. Случайные 0-4000,Быстрая + Ломуто. Почти отсортированный,Быстрая + Ломуто. Обратный порядок,Пирамидальная. Случайные 0-5,Пирамидальная. Случайные 0-4000,Пирамидальная. Почти отсортированный,Пирамидальная. Обратный порядок
50,35,32,25,50,61,103,83,208,46,102,121,192,54,151,67,99,10,21,13,50,33,24,16,23,7,284,115,167,9,65,41,41,22,30,46,23,9,9,19,8,33,27,96,141,39,84,64,56
60,126,40,104,77,96,145,133,302,65,300,109,283,69,154,112,117,14,28,24,54,62,39,22,28,8,285,87,121,12,79,42,44,34,425,48,23,14,16,25,14,38,43,104,147,48,126,80,58
70,123,56,120,128,115,183,156,349,94,248,89,390,90,215,172,137,17,48,38,77,68,52,26,40,6,366,113,136,15,99,56,58,61,46,56,40,18,18,31,8,45,43,148,210,63,139,94,85
80,166,130,63,444,144,239,213,410,110,260,112,845,92,288,621,122,26,45,23,96,92,60,29,55,8,517,111,118,15,88,64,69,35,52,74,36,16,22,42,10,62,63,252,212,79,163,87,89
90,195,101,95,236,174,247,221,479,154,308,146,1582,120,344,227,115,35,129,28,133,100,70,35,72,13,238,113,121,16,95,1156,86,38,65,95,108,21,31,50,15,75,55,280,316,87,197,68,193
100,201,114,95,177,229,303,308,679,193,482,192,768,140,576,295,141,40,70,34,149,996,80,46,88,8,241,118,126,18,142,96,77,45,107,103,33,21,22,43,20,103,55,292,373,105,225,80,178
110,158,136,110,221,254,351,442,803,246,606,397,1030,166,481,426,161,36,64,42,184,159,108,48,136,9,376,101,124,20,213,114,81,72,79,149,41,24,32,56,16,108,80,347,471,108,214,118,221
120,149,181,147,250,285,635,502,900,288,565,316,2061,270,1943,443,246,45,85,50,208,177,115,55,115,11,668,107,234,24,277,101,103,76,92,90,63,28,44,59,22,144,72,472,396,128,212,81,78
130,203,206,164,1290,338,659,524,1960,340,683,463,3183,497,974,505,316,54,139,64,239,1036,1056,66,136,11,237,108,216,24,156,106,93,76,109,92,46,31,48,67,33,166,76,448,356,122,241,92,91
140,210,220,181,360,403,735,744,1574,399,886,561,3652,487,980,1089,273,62,124,81,260,235,158,78,154,13,247,117,166,25,173,110,105,63,103,133,55,33,53,85,31,181,83,427,427,118,107,95,92
150,244,242,223,402,515,959,1245,1542,494,1284,721,5057,728,895,799,492,73,163,102,256,1217,192,88,179,12,333,127,150,34,178,128,112,74,327,140,53,57,54,248,27,162,108,532,495,136,118,111,100
160,319,836,256,793,576,1038,911,1633,542,1532,587,4623,525,2661,860,469,87,209,119,321,301,229,128,204,14,398,137,130,42,216,122,126,92,140,270,72,65,52,416,22,166,126,562,524,150,125,116,149
170,329,701,427,508,598,914,951,1868,588,1456,787,4702,612,1447,695,662,88,183,142,334,337,186,151,226,18,307,121,132,73,367,119,134,84,139,172,73,93,118,95,24,206,112,456,628,267,188,130,116
180,404,417,342,554,579,1096,1147,2183,549,1737,648,5843,529,1938,772,638,103,296,115,380,1386,226,182,289,15,327,119,145,51,187,146,189,93,135,181,111,69,91,100,31,271,128,549,709,331,187,133,126
